molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL3980775,6400.0,nM,COc1cccnc1Nc1ccc(F)c([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)n1,5.1938200260161125,413.1474877280001,7,2,3.291500000000001,True
CHEMBL2177328,6410.0,nM,COc1ccc2c(c1)C1(COC(N)=N1)c1cc(-c3cccc(OC(F)(F)F)c3)ccc1O2,5.193141970481182,442.114041684,6,1,4.955000000000004,True
CHEMBL3754357,6423.0,nM,COc1ccc(/C=C/C(=N/NC(=N)N)c2ccc(Cl)cc2)cc1OC,5.192262077985899,358.11965352799996,4,3,3.2577700000000016,True
CHEMBL3653664,6460.0,nM,CC1=NC2(CCOc3ccc(NC(=O)c4ccc(C)s4)cc32)N=C1N,5.189767482004916,354.1150468160001,6,2,3.075820000000001,True
CHEMBL252756,6461.0,nM,COc1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)CCCS(=O)(=O)N2CCCCC2)c1,5.189700258959831,517.2610423479999,6,3,2.4691,True
CHEMBL3979965,6490.0,nM,NC1=N[C@](CF)(c2cc(Nc3ccnc(Br)c3)ccc2F)C[C@@H](C(F)(F)F)O1,5.187755303199631,464.027114268,5,2,4.557500000000002,True
CHEMBL3683800,6495.0,nM,NC1=N[C@@](CF)(c2cc(NC(=O)c3ccc(Br)cn3)cc(F)c2F)[C@@H]2C[C@@H]2O1,5.187420844590953,454.02522244799997,5,2,3.272800000000001,True
CHEMBL4212215,6500.0,nM,O=S(=O)(c1ccc(Cl)cc1)N(CC(O)Cn1c2ccccc2c2ccccc21)C1CCCCC1,5.187086643357144,496.158741468,4,1,5.832400000000005,True
CHEMBL573378,6500.0,nM,CO[C@@H](COc1ccccc1)C[C@H](O)[C@H](COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1,5.187086643357144,725.2582427120001,8,3,4.874000000000004,True
CHEMBL3683864,6505.0,nM,C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)cn1,5.186752699102395,449.1111022200001,7,2,2.2129000000000003,True
CHEMBL1762560,6520.0,nM,O=C1C=C(c2ccc(C(F)(F)F)cc2)C(=O)C=C1c1ccccc1,5.185752404268079,328.07111425200003,2,0,4.324200000000003,True
CHEMBL3672704,6530.0,nM,CC#Cc1cncc(-c2ccc3c(c2)[C@]2(N=C(C)C(N)=N2)[C@]2(CC[C@H](O)CC2)C3)c1,5.185086818724926,398.21066145199995,5,2,3.581900000000002,True
CHEMBL1483796,6600.0,nM,O=C1CSC2(CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)N1,5.180456064458132,445.10493206800004,5,1,4.987900000000005,True
CHEMBL3653712,6610.0,nM,CC1=NC2(N=C1N)c1cc(Br)ccc1CC21CCC1,5.179798540514359,317.052759612,3,1,3.160000000000002,True
CHEMBL3688796,6635.0,nM,NC1=N[C@@](c2cc(NCC#Cc3ccccc3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,5.178159072799546,385.140196856,4,2,3.483100000000002,True
CHEMBL3939240,6640.0,nM,N#Cc1cncc(-c2cccc(C3(C4CC4)NC(=N)N(C4CCCCC4)C3=O)c2)c1,5.177831920631983,399.20591041999995,4,2,3.924850000000003,True
CHEMBL4642463,6640.0,nM,CCCCNC(=O)[C@@H]1C[C@H]1[C@]12COC[C@H]1CSC(N)=N2,5.177831920631983,297.1510979760001,5,2,0.9855,True
CHEMBL2059613,6660.0,nM,OC(CSc1ccc2ccccc2c1)Cn1c(-c2ccccc2)cc2ccccc21,5.176525770829699,409.15003535600005,3,1,6.614700000000005,True
CHEMBL3688684,6660.0,nM,NC1=N[C@@](c2cc(NC(=O)COc3ccccc3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,5.176525770829699,405.13002609599994,5,2,3.0370000000000017,True
